Scale,GPU_Runtime,GPU_Mem,GPU_Simple_Runtime,GPU_Simple_Mem,Spark_Runtime,Spark_Mem
20%,0.6035926342010498,106.0,2.8832316398620605,106.0,13.524363279342651,14.4
50%,8.45397162437439,106.0,43.01659941673279,106.0,5.387083053588867,15.3
100%,71.03751707077026,108.0,336.4305293560028,108.0,7.788211345672607,15.7
